priority,slug,url,page_title,manual_submit_order
HIGH,home,https://gamenestworld.com/,GameNest World Home,1
HIGH,games,https://gamenestworld.com/games/,All Games,2
HIGH,2048,https://gamenestworld.com/games/2048/,Play 2048 Online Free - 2048 Online Game,3
NORMAL,anagram,https://gamenestworld.com/games/anagram/,Play Anagram Online Free - Anagram Online,4
HIGH,block-puzzle-world,https://gamenestworld.com/games/block-puzzle-world/,Play Block Puzzle World Online Free - Block Puzzle Game Online,5
NORMAL,breakout,https://gamenestworld.com/games/breakout/,Play Breakout Online Free - Breakout Online,6
HIGH,chess,https://gamenestworld.com/games/chess/,Play Chess Online Free - Chess Game Online,7
NORMAL,cipher-decode,https://gamenestworld.com/games/cipher-decode/,Play Cipher Decode Online Free - Cipher Decode Online,8
HIGH,city-dash-runner,https://gamenestworld.com/games/city-dash-runner/,Play City Dash Runner Online Free - Endless Runner Game Online,9
NORMAL,coin-flip,https://gamenestworld.com/games/coin-flip/,Play Coin Flip Online Free - Coin Flip Online,10
HIGH,color-joy-studio,https://gamenestworld.com/games/color-joy-studio/,Play Color Joy Studio Online Free - Coloring Game For Kids,11
NORMAL,color-match,https://gamenestworld.com/games/color-match/,Play Color Match Online Free - Color Match Online,12
NORMAL,color-quiz,https://gamenestworld.com/games/color-quiz/,Play Color Quiz Online Free - Color Quiz Online,13
NORMAL,connect-four,https://gamenestworld.com/games/connect-four/,Play Connect Four Online Free - Connect Four Online,14
NORMAL,crossword,https://gamenestworld.com/games/crossword/,Play Crossword Online Free - Crossword Puzzle Online,15
NORMAL,dice-roller,https://gamenestworld.com/games/dice-roller/,Play Dice Roller Online Free - Dice Roller Online,16
NORMAL,emoji-quiz,https://gamenestworld.com/games/emoji-quiz/,Play Emoji Quiz Online Free - Emoji Quiz Online,17
NORMAL,expert-trivia,https://gamenestworld.com/games/expert-trivia/,Play Expert Trivia Online Free - Expert Trivia Online,18
NORMAL,flag-quiz,https://gamenestworld.com/games/flag-quiz/,Play Flag Quiz Online Free - Flag Quiz Online,19
