Game,Slug,Category,Added Guide Words,Sections Added
2048,2048,Classic Games,641,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Sudoku,sudoku,Classic Games,633,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Snake,snake,Classic Games,628,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Tetris,tetris,Classic Games,639,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Minesweeper,minesweeper,Classic Games,633,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Word Search,word-search,Word Games,647,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Crossword,crossword,Word Games,626,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Chess,chess,Classic Games,619,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Hangman,hangman,Word Games,623,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Memory Cards,memory-cards,Memory Games,641,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Tic Tac Toe,tic-tac-toe,Classic Games,656,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Flappy Bird,flappy-bird,Classic Games,632,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Color Quiz,color-quiz,Quiz Games,640,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Flag Quiz,flag-quiz,Quiz Games,640,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
True or False,true-or-false,Quiz Games,659,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Riddles,riddles,Quiz Games,621,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Emoji Quiz,emoji-quiz,Quiz Games,640,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Odd One Out,odd-one-out,Quiz Games,659,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
General Knowledge,general-knowledge,Quiz Games,640,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Geography Quiz,geography-quiz,Quiz Games,640,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Science Quiz,science-quiz,Quiz Games,640,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Movie Quiz,movie-quiz,Quiz Games,640,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Expert Trivia,expert-trivia,Quiz Games,640,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Word Scramble,word-scramble,Word Games,635,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Typing Speed,typing-speed,Word Games,637,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Anagram,anagram,Word Games,617,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Word Chain,word-chain,Word Games,635,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Word Guess,word-guess,Word Games,635,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Spelling Bee,spelling-bee,Word Games,635,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Cipher Decode,cipher-decode,Word Games,635,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Math Basics,math-basics,Math Games,629,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Math Quiz,math-quiz,Math Games,627,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Times Tables,times-tables,Math Games,629,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Make 24,make-24,Math Games,629,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Math Sprint,math-sprint,Math Games,629,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Number Sequence,number-sequence,Math Games,629,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Coin Flip,coin-flip,Classic Games,640,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Dice Roller,dice-roller,Classic Games,640,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
